imgt,tenx,adaptive,adaptivev2
TRAV1-1*02,TRAV1-1,TCRAV01-01*02,TCRAV01-01*02
TRAV1-2*01,TRAV1-2,TCRAV01-02*01,TCRAV01-02*01
TRAV10*01,TRAV10,TCRAV10-01*01,TCRAV10-01*01
TRAV11-1*01,TRAV11-1,TCRAV11-01*01,TCRAV11-01*01
TRAV11-2*01,TRAV11-2,TCRAV11-02*01,TCRAV11-02*01
TRAV11-3*01,TRAV11-3,TCRAV11-03*01,TCRAV11-03*01
TRAV12-1*01,TRAV12-1,TCRAV12-01*01,TCRAV12-01*01
TRAV12-1*02,TRAV12-1,TCRAV12-01*02,TCRAV12-01*02
TRAV12-2*01,TRAV12-2,TCRAV12-02*01,TCRAV12-02*01
TRAV12-3*01,TRAV12-3,TCRAV12-03*01,TCRAV12-03*01
TRAV13-1*01,TRAV13-1,TCRAV13-01*01,TCRAV13-01*01
TRAV13-1*02,TRAV13-1,TCRAV13-01*02,TCRAV13-01*02
TRAV13-2*01,TRAV13-2,TCRAV13-02*01,TCRAV13-02*01
TRAV13-2*02,TRAV13-2,TCRAV13-02*02,TCRAV13-02*02
TRAV14-1*01,TRAV14-1,TCRAV14-01*01,TCRAV14-01*01
TRAV14-2*01,TRAV14-2,TCRAV14-02*01,TCRAV14-02*01
TRAV15*01,TRAV15,TCRAV15-01*01,TCRAV15-01*01
TRAV15*02,TRAV15,TCRAV15-01*02,TCRAV15-01*02
TRAV16*01,TRAV16,TCRAV16-01*01,TCRAV16-01*01
TRAV17*01,TRAV17,TCRAV17-01*01,TCRAV17-01*01
TRAV18*01,TRAV18,TCRAV18-01*01,TCRAV18-01*01
TRAV19*01,TRAV19,TCRAV19-01*01,TCRAV19-01*01
TRAV19*02,TRAV19,TCRAV19-01*02,TCRAV19-01*02
TRAV2*01,TRAV2,TCRAV02-01*01,TCRAV02-01*01
TRAV20*01,TRAV20,TCRAV20-01*01,TCRAV20-01*01
TRAV20*02,TRAV20,TCRAV20-01*02,TCRAV20-01*02
TRAV21*01,TRAV21,TCRAV21-01*01,TCRAV21-01*01
TRAV22-1*01,TRAV22-1,TCRAV22-01*01,TCRAV22-01*01
TRAV22-1*02,TRAV22-1,TCRAV22-01*02,TCRAV22-01*02
TRAV22-2*01,TRAV22-2,TCRAV22-02*01,TCRAV22-02*01
TRAV22-3*01,TRAV22-3,TCRAV22-03*01,TCRAV22-03*01
TRAV23-1*01,TRAV23-1,TCRAV23-01*01,TCRAV23-01*01
TRAV23-1*02,TRAV23-1,TCRAV23-01*02,TCRAV23-01*02
TRAV23-2*01,TRAV23-2,TCRAV23-02*01,TCRAV23-02*01
TRAV23-3*01,TRAV23-3,TCRAV23-03*01,TCRAV23-03*01
TRAV23-4*01,TRAV23-4,TCRAV23-04*01,TCRAV23-04*01
TRAV24*01,TRAV24,TCRAV24-01*01,TCRAV24-01*01
TRAV24-1*01,TRAV24-1,TCRAV24-01*01,TCRAV24-01*01
TRAV25*01,TRAV25,TCRAV25-01*01,TCRAV25-01*01
TRAV25*02,TRAV25,TCRAV25-01*02,TCRAV25-01*02
TRAV25-1*01,TRAV25-1,TCRAV25-01*01,TCRAV25-01*01
TRAV26-1*01,TRAV26-1,TCRAV26-01*01,TCRAV26-01*01
TRAV26-2*01,TRAV26-2,TCRAV26-02*01,TCRAV26-02*01
TRAV26-2*02,TRAV26-2,TCRAV26-02*02,TCRAV26-02*02
TRAV26-3*01,TRAV26-3,TCRAV26-03*01,TCRAV26-03*01
TRAV27*01,TRAV27,TCRAV27-01*01,TCRAV27-01*01
TRAV29*01,TRAV29,TCRAV29-01*01,TCRAV29-01*01
TRAV3*01,TRAV3,TCRAV03-01*01,TCRAV03-01*01
TRAV30*01,TRAV30,TCRAV30-01*01,TCRAV30-01*01
TRAV32*01,TRAV32,TCRAV32-01*01,TCRAV32-01*01
TRAV32*02,TRAV32,TCRAV32-01*02,TCRAV32-01*02
TRAV33*01,TRAV33,TCRAV33-01*01,TCRAV33-01*01
TRAV33*02,TRAV33,TCRAV33-01*02,TCRAV33-01*02
TRAV34*01,TRAV34,TCRAV34-01*01,TCRAV34-01*01
TRAV34*02,TRAV34,TCRAV34-01*02,TCRAV34-01*02
TRAV35*01,TRAV35,TCRAV35-01*01,TCRAV35-01*01
TRAV35*02,TRAV35,TCRAV35-01*02,TCRAV35-01*02
TRAV36*01,TRAV36,TCRAV36-01*01,TCRAV36-01*01
TRAV36*02,TRAV36,TCRAV36-01*02,TCRAV36-01*02
TRAV37*01,TRAV37,TCRAV37-01*01,TCRAV37-01*01
TRAV37*02,TRAV37,TCRAV37-01*02,TCRAV37-01*02
TRAV38-1*01,TRAV38-1,TCRAV38-01*01,TCRAV38-01*01
TRAV38-1*02,TRAV38-1,TCRAV38-01*02,TCRAV38-01*02
TRAV38-2*01,TRAV38-2,TCRAV38-02*01,TCRAV38-02*01
TRAV38-2*02,TRAV38-2,TCRAV38-02*02,TCRAV38-02*02
TRAV39*01,TRAV39,TCRAV39-01*01,TCRAV39-01*01
TRAV4*01,TRAV4,TCRAV04-01*01,TCRAV04-01*01
TRAV40*01,TRAV40,TCRAV40-01*01,TCRAV40-01*01
TRAV40*02,TRAV40,TCRAV40-01*02,TCRAV40-01*02
TRAV41*01,TRAV41,TCRAV41-01*01,TCRAV41-01*01
TRAV46*01,TRAV46,TCRAV46-01*01,TCRAV46-01*01
TRAV46*02,TRAV46,TCRAV46-01*02,TCRAV46-01*02
TRAV5*01,TRAV5,TCRAV05-01*01,TCRAV05-01*01
TRAV6*01,TRAV6,TCRAV06-01*01,TCRAV06-01*01
TRAV8-1*01,TRAV8-1,TCRAV08-01*01,TCRAV08-01*01
TRAV8-2*01,TRAV8-2,TCRAV08-02*01,TCRAV08-02*01
TRAV8-3*01,TRAV8-3,TCRAV08-03*01,TCRAV08-03*01
TRAV8-4*01,TRAV8-4,TCRAV08-04*01,TCRAV08-04*01
TRAV8-5*01,TRAV8-5,TCRAV08-05*01,TCRAV08-05*01
TRAV8-6*01,TRAV8-6,TCRAV08-06*01,TCRAV08-06*01
TRAV8-6*02,TRAV8-6,TCRAV08-06*02,TCRAV08-06*02
TRAV8-7*01,TRAV8-7,TCRAV08-07*01,TCRAV08-07*01
TRAV9-1*01,TRAV9-1,TCRAV09-01*01,TCRAV09-01*01
TRAV9-2*01,TRAV9-2,TCRAV09-02*01,TCRAV09-02*01
TRAVA*01,TRAVA,TCRAVA-01*01,TCRAVA-01*01
TRAVB*01,TRAVB,TCRAVB-01*01,TCRAVB-01*01
TRAVC*01,TRAVC,NoData,NoData
TRBC1*01,TRBC1,NoData,NoData
TRBC1*02,TRBC1,NoData,NoData
TRBC2*01,TRBC2,NoData,NoData
TRBC2*02,TRBC2,NoData,NoData
TRBC2*03,TRBC2,NoData,NoData
TRBD1*01,TRBD1,TCRBD01-01*01,TCRBD01-01*01
TRBD2*01,TRBD2,TCRBD02-01*01,TCRBD02-01*01
TRBJ1-1*01,TRBJ1-1,TCRBJ01-01*01,TCRBJ01-01*01
TRBJ1-1*02,TRBJ1-1,TCRBJ01-01*02,TCRBJ01-01*02
TRBJ1-2*01,TRBJ1-2,TCRBJ01-02*01,TCRBJ01-02*01
TRBJ1-3*01,TRBJ1-3,TCRBJ01-03*01,TCRBJ01-03*01
TRBJ1-4*01,TRBJ1-4,TCRBJ01-04*01,TCRBJ01-04*01
TRBJ1-5*01,TRBJ1-5,TCRBJ01-05*01,TCRBJ01-05*01
TRBJ1-6*01,TRBJ1-6,TCRBJ01-06*01,TCRBJ01-06*01
TRBJ1-6*02,TRBJ1-6,TCRBJ01-06*02,TCRBJ01-06*02
TRBJ1-6*03,TRBJ1-6,TCRBJ01-06*03,TCRBJ01-06*03
TRBJ2-1*01,TRBJ2-1,TCRBJ02-01*01,TCRBJ02-01*01
TRBJ2-1*02,TRBJ2-1,TCRBJ02-01*02,TCRBJ02-01*02
TRBJ2-2*01,TRBJ2-2,TCRBJ02-02*01,TCRBJ02-02*01
TRBJ2-2P*01,TRBJ2-2P,TCRBJ02-02P*01,TCRBJ02-02P*01
TRBJ2-2P*02,TRBJ2-2P,TCRBJ02-02P*02,TCRBJ02-02P*02
TRBJ2-3*01,TRBJ2-3,TCRBJ02-03*01,TCRBJ02-03*01
TRBJ2-4*01,TRBJ2-4,TCRBJ02-04*01,TCRBJ02-04*01
TRBJ2-5*01,TRBJ2-5,TCRBJ02-05*01,TCRBJ02-05*01
TRBJ2-6*01,TRBJ2-6,TCRBJ02-06*01,TCRBJ02-06*01
TRBJ2-7*01,TRBJ2-7,TCRBJ02-07*01,TCRBJ02-07*01
TRBV1-1*01,TRBV1-1,TCRBV01-01*01,TCRBV01-01*01
TRBV1-1*02,TRBV1-1,TCRBV01-01*02,TCRBV01-01*02
TRBV1-2*01,TRBV1-2,TCRBV01-02*01,TCRBV01-02*01
TRBV1-3*01,TRBV1-3,TCRBV01-03*01,TCRBV01-03*01
TRBV1-3*02,TRBV1-3,TCRBV01-03*02,TCRBV01-03*02
TRBV10-1*01,TRBV10-1,TCRBV10-01*01,TCRBV10-01*01
TRBV10-1*02,TRBV10-1,TCRBV10-01*02,TCRBV10-01*02
TRBV10-2*01,TRBV10-2,TCRBV10-02*01,TCRBV10-02*01
TRBV10-3*01,TRBV10-3,TCRBV10-03*01,TCRBV10-03*01
TRBV10-3*02,TRBV10-3,TCRBV10-03*02,TCRBV10-03*02
TRBV11-1*01,TRBV11-1,TCRBV11-01*01,TCRBV11-01*01
TRBV11-2*01,TRBV11-2,TCRBV11-02*01,TCRBV11-02*01
TRBV11-2*02,TRBV11-2,TCRBV11-02*02,TCRBV11-02*02
TRBV11-3*01,TRBV11-3,TCRBV11-03*01,TCRBV11-03*01
TRBV12-1*01,TRBV12-1,TCRBV12-01*01,TCRBV12-01*01
TRBV12-1*02,TRBV12-1,TCRBV12-01*02,TCRBV12-01*02
TRBV12-2*01,TRBV12-2,TCRBV12-02*01,TCRBV12-02*01
TRBV12-2*02,TRBV12-2,TCRBV12-02*02,TCRBV12-02*02
TRBV12-2*03,TRBV12-2,TCRBV12-02*03,TCRBV12-02*03
TRBV12-3*01,TRBV12-3,TCRBV12-03*01,TCRBV12-03*01
TRBV12-3*02,TRBV12-3,TCRBV12-03*02,TCRBV12-03*02
TRBV12-4*01,TRBV12-4,TCRBV12-04*01,TCRBV12-04*01
TRBV12-4*02,TRBV12-4,TCRBV12-04*02,TCRBV12-04*02
TRBV13*01,TRBV13,TCRBV13-01*01,TCRBV13-01*01
TRBV13*02,TRBV13,TCRBV13-01*02,TCRBV13-01*02
TRBV14*01,TRBV14,TCRBV14-01*01,TCRBV14-01*01
TRBV15*01,TRBV15,TCRBV15-01*01,TCRBV15-01*01
TRBV16*01,TRBV16,TCRBV16-01*01,TCRBV16-01*01
TRBV16*02,TRBV16,TCRBV16-01*02,TCRBV16-01*02
TRBV18*01,TRBV18,TCRBV18-01*01,TCRBV18-01*01
TRBV19*01,TRBV19,TCRBV19-01*01,TCRBV19-01*01
TRBV19*02,TRBV19,TCRBV19-01*02,TCRBV19-01*02
TRBV2-1*01,TRBV2-1,TCRBV02-01*01,TCRBV02-01*01
TRBV2-1*02,TRBV2-1,TCRBV02-01*02,TCRBV02-01*02
TRBV2-2*01,TRBV2-2,TCRBV02-02*01,TCRBV02-02*01
TRBV2-3*01,TRBV2-3,TCRBV02-03*01,TCRBV02-03*01
TRBV2-3*02,TRBV2-3,TCRBV02-03*02,TCRBV02-03*02
TRBV20-1*01,TRBV20-1,TCRBV20-01*01,TCRBV20-01*01
TRBV20-1*02,TRBV20-1,TCRBV20-01*02,TCRBV20-01*02
TRBV21-1*01,TRBV21-1,TCRBV21-01*01,TCRBV21-01*01
TRBV21-1*02,TRBV21-1,TCRBV21-01*02,TCRBV21-01*02
TRBV22-1*01,TRBV22-1,TCRBV22-01*01,TCRBV22-01*01
TRBV22-1*02,TRBV22-1,TCRBV22-01*02,TCRBV22-01*02
TRBV23-1*01,TRBV23-1,TCRBV23-01*01,TCRBV23-01*01
TRBV24-1*01,TRBV24-1,TCRBV24-01*01,TCRBV24-01*01
TRBV25-1*01,TRBV25-1,TCRBV25-01*01,TCRBV25-01*01
TRBV26*01,TRBV26,TCRBV26-01*01,TCRBV26-01*01
TRBV26*02,TRBV26,TCRBV26-01*02,TCRBV26-01*02
TRBV27*01,TRBV27,TCRBV27-01*01,TCRBV27-01*01
TRBV27*02,TRBV27,TCRBV27-01*02,TCRBV27-01*02
TRBV28*01,TRBV28,TCRBV28-01*01,TCRBV28-01*01
TRBV29-1*01,TRBV29-1,TCRBV29-01*01,TCRBV29-01*01
TRBV29-1*02,TRBV29-1,TCRBV29-01*02,TCRBV29-01*02
TRBV3-1*01,TRBV3-1,TCRBV03-01*01,TCRBV03-01*01
TRBV3-2*01,TRBV3-2,TCRBV03-02*01,TCRBV03-02*01
TRBV3-2*02,TRBV3-2,TCRBV03-02*02,TCRBV03-02*02
TRBV3-3*01,TRBV3-3,TCRBV03-03*01,TCRBV03-03*01
TRBV3-3*02,TRBV3-3,TCRBV03-03*02,TCRBV03-03*02
TRBV3-4*01,TRBV3-4,TCRBV03-04*01,TCRBV03-04*01
TRBV3-4*02,TRBV3-4,TCRBV03-04*02,TCRBV03-04*02
TRBV30*01,TRBV30,TCRBV30-01*01,TCRBV30-01*01
TRBV4-1*01,TRBV4-1,TCRBV04-01*01,TCRBV04-01*01
TRBV4-1*02,TRBV4-1,TCRBV04-01*02,TCRBV04-01*02
TRBV4-2*01,TRBV4-2,TCRBV04-02*01,TCRBV04-02*01
TRBV4-2*02,TRBV4-2,TCRBV04-02*02,TCRBV04-02*02
TRBV4-3*01,TRBV4-3,TCRBV04-03*01,TCRBV04-03*01
TRBV4-3*02,TRBV4-3,TCRBV04-03*02,TCRBV04-03*02
TRBV4-3*03,TRBV4-3,TCRBV04-03*03,TCRBV04-03*03
TRBV5-1*01,TRBV5-1,TCRBV05-01*01,TCRBV05-01*01
TRBV5-1*02,TRBV5-1,TCRBV05-01*02,TCRBV05-01*02
TRBV5-1*03,TRBV5-1,TCRBV05-01*03,TCRBV05-01*03
TRBV5-10*01,TRBV5-10,TCRBV05-010*01,TCRBV05-010*01
TRBV5-10*02,TRBV5-10,TCRBV05-010*02,TCRBV05-010*02
TRBV5-2*01,TRBV5-2,TCRBV05-02*01,TCRBV05-02*01
TRBV5-2*02,TRBV5-2,TCRBV05-02*02,TCRBV05-02*02
TRBV5-3*01,TRBV5-3,TCRBV05-03*01,TCRBV05-03*01
TRBV5-3*02,TRBV5-3,TCRBV05-03*02,TCRBV05-03*02
TRBV5-3*03,TRBV5-3,TCRBV05-03*03,TCRBV05-03*03
TRBV5-4*01,TRBV5-4,TCRBV05-04*01,TCRBV05-04*01
TRBV5-4*02,TRBV5-4,TCRBV05-04*02,TCRBV05-04*02
TRBV5-4*03,TRBV5-4,TCRBV05-04*03,TCRBV05-04*03
TRBV5-5*01,TRBV5-5,TCRBV05-05*01,TCRBV05-05*01
TRBV5-5*02,TRBV5-5,TCRBV05-05*02,TCRBV05-05*02
TRBV5-5*03,TRBV5-5,TCRBV05-05*03,TCRBV05-05*03
TRBV5-6*01,TRBV5-6,TCRBV05-06*01,TCRBV05-06*01
TRBV5-6*02,TRBV5-6,TCRBV05-06*02,TCRBV05-06*02
TRBV5-7*01,TRBV5-7,TCRBV05-07*01,TCRBV05-07*01
TRBV5-7*02,TRBV5-7,TCRBV05-07*02,TCRBV05-07*02
TRBV5-8*01,TRBV5-8,TCRBV05-08*01,TCRBV05-08*01
TRBV5-8*02,TRBV5-8,TCRBV05-08*02,TCRBV05-08*02
TRBV5-9*01,TRBV5-9,TCRBV05-09*01,TCRBV05-09*01
TRBV5-9*02,TRBV5-9,TCRBV05-09*02,TCRBV05-09*02
TRBV5-9*03,TRBV5-9,TCRBV05-09*03,TCRBV05-09*03
TRBV6-1*01,TRBV6-1,TCRBV06-01*01,TCRBV06-01*01
TRBV6-1*02,TRBV6-1,TCRBV06-01*02,TCRBV06-01*02
TRBV6-2*01,TRBV6-2,TCRBV06-02*01,TCRBV06-02*01
TRBV6-2*02,TRBV6-2,TCRBV06-02*02,TCRBV06-02*02
TRBV6-2*03,TRBV6-2,TCRBV06-02*03,TCRBV06-02*03
TRBV6-2-1*01,TRBV6-2-1,TCRBV06-02-01*01,TCRBV06-02-01*01
TRBV6-2-1*02,TRBV6-2-1,TCRBV06-02-01*02,TCRBV06-02-01*02
TRBV6-3*01,TRBV6-3,TCRBV06-03*01,TCRBV06-03*01
TRBV6-3*02,TRBV6-3,TCRBV06-03*02,TCRBV06-03*02
TRBV6-4*01,TRBV6-4,TCRBV06-04*01,TCRBV06-04*01
TRBV6-4*02,TRBV6-4,TCRBV06-04*02,TCRBV06-04*02
TRBV6-4*03,TRBV6-4,TCRBV06-04*03,TCRBV06-04*03
TRBV6-5*01,TRBV6-5,TCRBV06-05*01,TCRBV06-05*01
TRBV6-5-1*01,TRBV6-5-1,TCRBV06-05-01*01,TCRBV06-05-01*01
TRBV6-5-1*02,TRBV6-5-1,TCRBV06-05-01*02,TCRBV06-05-01*02
TRBV6-6*01,TRBV6-6,TCRBV06-06*01,TCRBV06-06*01
TRBV6-6*02,TRBV6-6,TCRBV06-06*02,TCRBV06-06*02
TRBV6-7*01,TRBV6-7,TCRBV06-07*01,TCRBV06-07*01
TRBV6-8*01,TRBV6-8,TCRBV06-08*01,TCRBV06-08*01
TRBV6-8*02,TRBV6-8,TCRBV06-08*02,TCRBV06-08*02
TRBV7-1*01,TRBV7-1,TCRBV07-01*01,TCRBV07-01*01
TRBV7-10*01,TRBV7-10,TCRBV07-010*01,TCRBV07-010*01
TRBV7-10*02,TRBV7-10,TCRBV07-010*02,TCRBV07-010*02
TRBV7-2*01,TRBV7-2,TCRBV07-02*01,TCRBV07-02*01
TRBV7-2*03,TRBV7-2,TCRBV07-02*03,TCRBV07-02*03
TRBV7-3*01,TRBV7-3,TCRBV07-03*01,TCRBV07-03*01
TRBV7-4*01,TRBV7-4,TCRBV07-04*01,TCRBV07-04*01
TRBV7-4*02,TRBV7-4,TCRBV07-04*02,TCRBV07-04*02
TRBV7-4*03,TRBV7-4,TCRBV07-04*03,TCRBV07-04*03
TRBV7-5*01,TRBV7-5,TCRBV07-05*01,TCRBV07-05*01
TRBV7-5*02,TRBV7-5,TCRBV07-05*02,TCRBV07-05*02
TRBV7-6*01,TRBV7-6,TCRBV07-06*01,TCRBV07-06*01
TRBV7-6*02,TRBV7-6,TCRBV07-06*02,TCRBV07-06*02
TRBV7-7*01,TRBV7-7,TCRBV07-07*01,TCRBV07-07*01
TRBV7-7*02,TRBV7-7,TCRBV07-07*02,TCRBV07-07*02
TRBV7-7-1*01,TRBV7-7-1,TCRBV07-07-01*01,TCRBV07-07-01*01
TRBV7-7-1*02,TRBV7-7-1,TCRBV07-07-01*02,TCRBV07-07-01*02
TRBV7-8*01,TRBV7-8,TCRBV07-08*01,TCRBV07-08*01
TRBV7-9*01,TRBV7-9,TCRBV07-09*01,TCRBV07-09*01
TRBV7-9*02,TRBV7-9,TCRBV07-09*02,TCRBV07-09*02
TRBV8-1*01,TRBV8-1,TCRBV08-01*01,TCRBV08-01*01
TRBV8-1*02,TRBV8-1,TCRBV08-01*02,TCRBV08-01*02
TRBV8-2*01,TRBV8-2,TCRBV08-02*01,TCRBV08-02*01
TRBV8-2*02,TRBV8-2,TCRBV08-02*02,TCRBV08-02*02
TRBV9*01,TRBV9,TCRBV09-01*01,TCRBV09-01*01
TRBV9*02,TRBV9,TCRBV09-01*02,TCRBV09-01*02
TRBV9*03,TRBV9,TCRBV09-01*03,TCRBV09-01*03
TRBVA*01,TRBVA,TCRBVA-01*01,TCRBVA-01*01
TRBVB*01,TRBVB,TCRBVB-01*01,TCRBVB-01*01
TRBVC*01,TRBVC,NoData,NoData
TRBVC*02,TRBVC,NoData,NoData
TRDC*01,TRDC,NoData,NoData
TRDC*02,TRDC,NoData,NoData
TRDC*03,TRDC,NoData,NoData
TRDD1*01,TRDD1,TCRDD01-01*01,TCRDD01-01*01
TRDD2*01,TRDD2,TCRDD02-01*01,TCRDD02-01*01
TRDD3*01,TRDD3,TCRDD03-01*01,TCRDD03-01*01
TRDD4*01,TRDD4,TCRDD04-01*01,TCRDD04-01*01
TRDJ1*01,TRDJ1,TCRDJ01-01*01,TCRDJ01-01*01
TRDJ2*01,TRDJ2,TCRDJ02-01*01,TCRDJ02-01*01
TRDJ3*01,TRDJ3,TCRDJ03-01*01,TCRDJ03-01*01
TRDJ3*02,TRDJ3,TCRDJ03-01*02,TCRDJ03-01*02
TRDJ4*01,TRDJ4,TCRDJ04-01*01,TCRDJ04-01*01
TRDV1*01,TRDV1,TCRDV01-01*01,TCRDV01-01*01
TRDV1*02,TRDV1,TCRDV01-01*02,TCRDV01-01*02
TRDV1-1*01,TRDV1-1,TCRDV01-01*01,TCRDV01-01*01
TRDV2*01,TRDV2,TCRDV02-01*01,TCRDV02-01*01
TRDV2*02,TRDV2,TCRDV02-01*02,TCRDV02-01*02
TRDV3*01,TRDV3,TCRDV03-01*01,TCRDV03-01*01
TRDV3*02,TRDV3,TCRDV03-01*02,TCRDV03-01*02
TRDV4*01,TRDV4,TCRDV04-01*01,TCRDV04-01*01
TRGC1*01,TRGC1,NoData,NoData
TRGC2*01,TRGC2,NoData,NoData
TRGJ1-1*01,TRGJ1-1,TCRGJ01-01*01,TCRGJ01-01*01
