tenx,imgt,adaptive,adaptivev2
TRAV12D-3,TRAV12D-3*01,TCRAV12D-03*01,TCRAV12D-03*01
TRAV12N-1,TRAV12N-1*01,TCRAV12N-01*01,TCRAV12N-01*01
TRAV12N-2,TRAV12N-2*01,TCRAV12N-02*01,TCRAV12N-02*01
TRAV12N-3,TRAV12N-3*01,TCRAV12N-03*01,TCRAV12N-03*01
TRAV13-1,TRAV13-1*01,TCRAV13-01*01,TCRAV13-01*01
TRAV13-2,TRAV13-2*01,TCRAV13-02*01,TCRAV13-02*01
TRAV13-3,TRAV13-3*01,TCRAV13-03*01,TCRAV13-03*01
TRAV13-4-DV7,TRAV13-4/DV7*01,TCRAV13-04*01,TCRAV13-04*01
TRAV13-5,TRAV13-5*01,TCRAV13-05*01,TCRAV13-05*01
TRAV13D-1,TRAV13D-1*01,TCRAV13D-01*01,TCRAV13D-01*01
TRAV13D-2,TRAV13D-2*01,TCRAV13D-02*01,TCRAV13D-02*01
TRAV13D-3,TRAV13D-3*01,TCRAV13D-03*01,TCRAV13D-03*01
TRAV13D-4,TRAV13D-4*01,TCRAV13D-04*01,TCRAV13D-04*01
TRAV13N-1,TRAV13N-1*01,TCRAV13N-01*01,TCRAV13N-01*01
TRAV13N-2,TRAV13N-2*01,TCRAV13N-02*01,TCRAV13N-02*01
TRAV13N-3,TRAV13N-3*01,TCRAV13N-03*01,TCRAV13N-03*01
TRAV13N-4,TRAV13N-4*01,TCRAV13N-04*01,TCRAV13N-04*01
TRAV14-1,TRAV14-1*01,TCRAV14-01*01,TCRAV14-01*01
TRAV14-2,TRAV14-2*01,TCRAV14-02*01,TCRAV14-02*01
TRAV14-3,TRAV14-3*01,TCRAV14-03*01,TCRAV14-03*01
TRAV14D-1,TRAV14D-1*01,TCRAV14D-01*01,TCRAV14D-01*01
TRAV14D-2,TRAV14D-2*01,TCRAV14D-02*01,TCRAV14D-02*01
TRAV14D-3-DV8,TRAV14D-3/DV8*01,TCRAV14D-03*01,TCRAV14D-03*01
TRAV14N-1,TRAV14N-1*01,TCRAV14N-01*01,TCRAV14N-01*01
TRAV14N-2,TRAV14N-2*01,TCRAV14N-02*01,TCRAV14N-02*01
TRAV14N-3,TRAV14N-3*01,TCRAV14N-03*01,TCRAV14N-03*01
TRAV15-1-DV6-1,TRAV15-1/DV6-1*01,TCRAV15-01*01,TCRAV15-01*01
TRAV15-2-DV6-2,TRAV15-2/DV6-2*01,TCRAV15-02*01,TCRAV15-02*01
TRAV15-3,TRAV15-3*01,TCRAV15-03*01,TCRAV15-03*01
TRAV15D-1-DV6D-1,TRAV15D-1/DV6D-1*01,TCRAV15D-01*01,TCRAV15D-01*01
TRAV15D-2-DV6D-2,TRAV15D-2/DV6D-2*01,TCRAV15D-02*01,TCRAV15D-02*01
TRAV15D-3,TRAV15D-3*01,TCRAV15D-03*01,TCRAV15D-03*01
TRAV15N-1,TRAV15N-1*01,TCRAV15N-01*01,TCRAV15N-01*01
TRAV15N-2,TRAV15N-2*01,TCRAV15N-02*01,TCRAV15N-02*01
TRAV15N-3,TRAV15N-3*01,TCRAV15N-03*01,TCRAV15N-03*01
TRAV16,TRAV16*01,TCRAV16-01*01,TCRAV16-01*01
TRAV16D-DV11,TRAV16D/DV11*01,TCRAV16D-01*01,TCRAV16D-01*01
TRAV16N,TRAV16N*01,TCRAV16N-01*01,TCRAV16N-01*01
TRAV17,TRAV17*01,TCRAV17-01*01,TCRAV17-01*01
TRAV18,TRAV18*01,TCRAV18-01*01,TCRAV18-01*01
TRAV19,TRAV19*01,TCRAV19-01*01,TCRAV19-01*01
TRAV2,TRAV2*01,TCRAV02-01*01,TCRAV02-01*01
TRAV20,TRAV20*01,TCRAV20-01*01,TCRAV20-01*01
TRAV21-DV12,TRAV21/DV12*01,TCRAV21-01*01,TCRAV21-01*01
TRAV22,TRAV22*01,TCRAV22-01*01,TCRAV22-01*01
TRAV23,TRAV23*01,TCRAV23-01*01,TCRAV23-01*01
TRAV3-1,TRAV3-1*01,TCRAV03-01*01,TCRAV03-01*01
TRAV3-2,TRAV3-2*01,TCRAV03-02*01,TCRAV03-02*01
TRAV3-3,TRAV3-3*01,TCRAV03-03*01,TCRAV03-03*01
TRAV3-4,TRAV3-4*01,TCRAV03-04*01,TCRAV03-04*01
TRAV3D-2,TRAV3D-2*01,TCRAV3D-02*01,TCRAV3D-02*01
TRAV3D-3,TRAV3D-3*01,TCRAV3D-03*01,TCRAV3D-03*01
TRAV3N-2,TRAV3N-2*01,TCRAV3N-02*01,TCRAV3N-02*01
TRAV3N-3,TRAV3N-3*01,TCRAV3N-03*01,TCRAV3N-03*01
TRAV4-1,TRAV4-1*01,TCRAV04-01*01,TCRAV04-01*01
TRAV4-2,TRAV4-2*01,TCRAV04-02*01,TCRAV04-02*01
TRAV4-3,TRAV4-3*01,TCRAV04-03*01,TCRAV04-03*01
TRAV4-4-DV10,TRAV4-4/DV10*01,TCRAV04-04/*01,TCRAV04-04/*01
TRAV4D-2,TRAV4D-2*01,TCRAV4D-02*01,TCRAV4D-02*01
TRAV4D-3,TRAV4D-3*01,TCRAV4D-03*01,TCRAV4D-03*01
TRAV4D-4,TRAV4D-4*01,TCRAV4D-04*01,TCRAV4D-04*01
TRAV4N-3,TRAV4N-3*01,TCRAV4N-03*01,TCRAV4N-03*01
TRAV4N-4,TRAV4N-4*01,TCRAV4N-04*01,TCRAV4N-04*01
TRAV5-1,TRAV5-1*01,TCRAV05-01*01,TCRAV05-01*01
TRAV5-2,TRAV5-2*01,TCRAV05-02*01,TCRAV05-02*01
TRAV5-3,TRAV5-3*01,TCRAV05-03*01,TCRAV05-03*01
TRAV5-4,TRAV5-4*01,TCRAV05-04*01,TCRAV05-04*01
TRAV5D-2,TRAV5D-2*01,TCRAV5D-02*01,TCRAV5D-02*01
TRAV5D-3,TRAV5D-3*01,TCRAV5D-03*01,TCRAV5D-03*01
TRAV5D-4,TRAV5D-4*01,TCRAV5D-04*01,TCRAV5D-04*01
TRAV5N-2,TRAV5N-2*01,TCRAV5N-02*01,TCRAV5N-02*01
TRAV5N-3,TRAV5N-3*01,TCRAV5N-03*01,TCRAV5N-03*01
TRAV5N-4,TRAV5N-4*01,TCRAV5N-04*01,TCRAV5N-04*01
TRAV6-1,TRAV6-1*01,TCRAV06-01*01,TCRAV06-01*01
TRAV6-2,TRAV6-2*01,TCRAV06-02*01,TCRAV06-02*01
TRAV6-3,TRAV6-3*01,TCRAV06-03*01,TCRAV06-03*01
TRAV6-4,TRAV6-4*01,TCRAV06-04*01,TCRAV06-04*01
TRAV6-5,TRAV6-5*01,TCRAV06-05*01,TCRAV06-05*01
TRAV6-6,TRAV6-6*01,TCRAV06-06*01,TCRAV06-06*01
TRAV6-7-DV9,TRAV6-7/DV9*01,TCRAV06-07*01,TCRAV06-07*01
TRAV6D-3,TRAV6D-3*01,TCRAV6D-03*01,TCRAV6D-03*01
TRAV6D-4,TRAV6D-4*01,TCRAV6D-04*01,TCRAV6D-04*01
TRAV6D-5,TRAV6D-5*01,TCRAV6D-05*01,TCRAV6D-05*01
TRAV6D-6,TRAV6D-6*01,TCRAV6D-06*01,TCRAV6D-06*01
TRAV6D-7,TRAV6D-7*01,TCRAV6D-07*01,TCRAV6D-07*01
TRAV6N-5,TRAV6N-5*01,TCRAV6N-05*01,TCRAV6N-05*01
TRAV6N-6,TRAV6N-6*01,TCRAV6N-06*01,TCRAV6N-06*01
TRAV6N-7,TRAV6N-7*01,TCRAV6N-07*01,TCRAV6N-07*01
TRAV7-1,TRAV7-1*01,TCRAV07-01*01,TCRAV07-01*01
TRAV7-2,TRAV7-2*01,TCRAV07-02*01,TCRAV07-02*01
TRAV7-3,TRAV7-3*01,TCRAV07-03*01,TCRAV07-03*01
TRAV7-4,TRAV7-4*01,TCRAV07-04*01,TCRAV07-04*01
TRAV7-5,TRAV7-5*01,TCRAV07-05*01,TCRAV07-05*01
TRAV7-6,TRAV7-6*01,TCRAV07-06*01,TCRAV07-06*01
TRAV7D-2,TRAV7D-2*01,TCRAV7D-02*01,TCRAV7D-02*01
TRAV7D-3,TRAV7D-3*01,TCRAV7D-03*01,TCRAV7D-03*01
TRAV7D-4,TRAV7D-4*01,TCRAV7D-04*01,TCRAV7D-04*01
TRAV7D-5,TRAV7D-5*01,TCRAV7D-05*01,TCRAV7D-05*01
TRAV7D-6,TRAV7D-6*01,TCRAV7D-06*01,TCRAV7D-06*01
TRAV7N-4,TRAV7N-4*01,TCRAV7N-04*01,TCRAV7N-04*01
TRAV7N-5,TRAV7N-5*01,TCRAV7N-05*01,TCRAV7N-05*01
TRAV7N-6,TRAV7N-6*01,TCRAV7N-06*01,TCRAV7N-06*01
TRAV8-1,TRAV8-1*01,TCRAV08-01*01,TCRAV08-01*01
TRAV8-2,TRAV8-2*01,TCRAV08-02*01,TCRAV08-02*01
TRAV8D-1,TRAV8D-1*01,TCRAV8D-01*01,TCRAV8D-01*01
TRAV8D-2,TRAV8D-2*01,TCRAV8D-02*01,TCRAV8D-02*01
TRAV8N-2,TRAV8N-2*01,TCRAV8N-02*01,TCRAV8N-02*01
TRAV9-1,TRAV9-1*01,TCRAV09-01*01,TCRAV09-01*01
TRAV9-2,TRAV9-2*01,TCRAV09-02*01,TCRAV09-02*01
TRAV9-3,TRAV9-3*01,TCRAV09-03*01,TCRAV09-03*01
TRAV9-4,TRAV9-4*01,TCRAV09-04*01,TCRAV09-04*01
TRAV9D-1,TRAV9D-1*01,TCRAV9D-01*01,TCRAV9D-01*01
TRAV9D-2,TRAV9D-2*01,TCRAV9D-02*01,TCRAV9D-02*01
TRAV9D-3,TRAV9D-3*01,TCRAV9D-03*01,TCRAV9D-03*01
TRAV9D-4,TRAV9D-4*01,TCRAV9D-04*01,TCRAV9D-04*01
TRAV9N-1,TRAV9N-1*01,TCRAV9N-01*01,TCRAV9N-01*01
TRAV9N-2,TRAV9N-2*01,TCRAV9N-02*01,TCRAV9N-02*01
TRAV9N-3,TRAV9N-3*01,TCRAV9N-03*01,TCRAV9N-03*01
TRAV9N-4,TRAV9N-4*01,TCRAV9N-04*01,TCRAV9N-04*01
TRBC1,TRBC1*01,NoData,NoData
TRBC2,TRBC2*01,NoData,NoData
TRBD1,TRBD1*01,TCRBD01-01*01,TCRBD01-01*01
TRBD2,TRBD2*01,TCRBD02-01*01,TCRBD02-01*01
TRBJ1-1,TRBJ1-1*01,TCRBJ01-01*01,TCRBJ01-01*01
TRBJ1-2,TRBJ1-2*01,TCRBJ01-02*01,TCRBJ01-02*01
TRBJ1-3,TRBJ1-3*01,TCRBJ01-03*01,TCRBJ01-03*01
TRBJ1-4,TRBJ1-4*01,TCRBJ01-04*01,TCRBJ01-04*01
TRBJ1-5,TRBJ1-5*01,TCRBJ01-05*01,TCRBJ01-05*01
TRBJ1-6,TRBJ1-6*01,TCRBJ01-06*01,TCRBJ01-06*01
TRBJ1-7,TRBJ1-7*01,TCRBJ01-07*01,TCRBJ01-07*01
TRBJ2-1,TRBJ2-1*01,TCRBJ02-01*01,TCRBJ02-01*01
TRBJ2-2,TRBJ2-2*01,TCRBJ02-02*01,TCRBJ02-02*01
TRBJ2-3,TRBJ2-3*01,TCRBJ02-03*01,TCRBJ02-03*01
TRBJ2-4,TRBJ2-4*01,TCRBJ02-04*01,TCRBJ02-04*01
TRBJ2-5,TRBJ2-5*01,TCRBJ02-05*01,TCRBJ02-05*01
TRBJ2-6,TRBJ2-6*01,TCRBJ02-06*01,TCRBJ02-06*01
TRBJ2-7,TRBJ2-7*01,TCRBJ02-07*01,TCRBJ02-07*01
TRBV1,TRBV1*01,TCRBV01-01*01,TCRBV01-01*01
TRBV10,TRBV10*01,TCRBV10-01*01,TCRBV10-01*01
TRBV11,TRBV11*01,TCRBV11-01*01,TCRBV11-01*01
TRBV12-1,TRBV12-1*01,TCRBV12-01*01,TCRBV12-01*01
TRBV12-2,TRBV12-2*01,TCRBV12-02*01,TCRBV12-02*01
TRBV12-3,TRBV12-3*01,TCRBV12-03*01,TCRBV12-03*01
TRBV13-1,TRBV13-1*01,TCRBV13-01*01,TCRBV13-01*01
TRBV13-2,TRBV13-2*01,TCRBV13-02*01,TCRBV13-02*01
TRBV13-3,TRBV13-3*01,TCRBV13-03*01,TCRBV13-03*01
TRBV14,TRBV14*01,TCRBV14-01*01,TCRBV14-01*01
TRBV15,TRBV15*01,TCRBV15-01*01,TCRBV15-01*01
TRBV16,TRBV16*01,TCRBV16-01*01,TCRBV16-01*01
TRBV17,TRBV17*01,TCRBV17-01*01,TCRBV17-01*01
TRBV18,TRBV18*01,TCRBV18-01*01,TCRBV18-01*01
TRBV19,TRBV19*01,TCRBV19-01*01,TCRBV19-01*01
TRBV2,TRBV2*01,TCRBV02-01*01,TCRBV02-01*01
TRBV20,TRBV20*01,TCRBV20-01*01,TCRBV20-01*01
TRBV21,TRBV21*01,TCRBV21-01*01,TCRBV21-01*01
TRBV22,TRBV22*01,TCRBV22-01*01,TCRBV22-01*01
TRBV23,TRBV23*01,TCRBV23-01*01,TCRBV23-01*01
TRBV24,TRBV24*01,TCRBV24-01*01,TCRBV24-01*01
TRBV25,TRBV25*01,TCRBV25-01*01,TCRBV25-01*01
TRBV26,TRBV26*01,TCRBV26-01*01,TCRBV26-01*01
TRBV27,TRBV27*01,TCRBV27-01*01,TCRBV27-01*01
TRBV28,TRBV28*01,TCRBV28-01*01,TCRBV28-01*01
TRBV29,TRBV29*01,TCRBV29-01*01,TCRBV29-01*01
TRBV3,TRBV3*01,TCRBV03-01*01,TCRBV03-01*01
TRBV30,TRBV30*01,TCRBV30-01*01,TCRBV30-01*01
TRBV31,TRBV31*01,TCRBV31-01*01,TCRBV31-01*01
TRBV4,TRBV4*01,TCRBV04-01*01,TCRBV04-01*01
TRBV5,TRBV5*01,TCRBV05-01*01,TCRBV05-01*01
TRBV6,TRBV6*01,TCRBV06-01*01,TCRBV06-01*01
TRBV7,TRBV7*01,TCRBV07-01*01,TCRBV07-01*01
TRBV8,TRBV8*01,TCRBV08-01*01,TCRBV08-01*01
TRBV9,TRBV9*01,TCRBV09-01*01,TCRBV09-01*01
TRDC,TRDC*01,NoData,NoData
TRDD1,TRDD1*01,TCRDD01-01*01,TCRDD01-01*01
TRDD2,TRDD2*01,TCRDD02-01*01,TCRDD02-01*01
TRDJ1,TRDJ1*01,TCRDJ01-01*01,TCRDJ01-01*01
TRDJ2,TRDJ2*01,TCRDJ02-01*01,TCRDJ02-01*01
TRDV1,TRDV1*01,TCRDV01-01*01,TCRDV01-01*01
TRDV2-1,TRDV2-1*01,TCRDV02-01*01,TCRDV02-01*01
TRDV2-2,TRDV2-2*01,TCRDV02-02*01,TCRDV02-02*01
TRDV3,TRDV3*01,TCRDV03-01*01,TCRDV03-01*01
TRDV4,TRDV4*01,TCRDV04-01*01,TCRDV04-01*01
TRDV5,TRDV5*01,TCRDV05-01*01,TCRDV05-01*01
TRGC1,TRGC1*01,NoData,NoData
TRGC2,TRGC2*01,NoData,NoData
TRGC3,TRGC3*01,NoData,NoData
TRGC4,TRGC4*01,NoData,NoData
TRGJ1,TRGJ1*01,TCRGJ01-01*01,TCRGJ01-01*01
TRGJ2,TRGJ2*01,TCRGJ02-01*01,TCRGJ02-01*01
TRGJ3,TRGJ3*01,TCRGJ03-01*01,TCRGJ03-01*01
TRGJ4,TRGJ4*01,TCRGJ04-01*01,TCRGJ04-01*01
TRGV1,TRGV1*01,TCRGV01-01*01,TCRGV01-01*01
TRGV2,TRGV2*01,TCRGV02-01*01,TCRGV02-01*01
TRGV3,TRGV3*01,TCRGV03-01*01,TCRGV03-01*01
TRGV4,TRGV4*01,TCRGV04-01*01,TCRGV04-01*01
TRGV5,TRGV5*01,TCRGV05-01*01,TCRGV05-01*01
TRGV6,TRGV6*01,TCRGV06-01*01,TCRGV06-01*01
TRGV7,TRGV7*01,TCRGV07-01*01,TCRGV07-01*01
TRGVA,TRGVA*01,TCRGVA-01*01,TCRGVA-01*01
